location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2019-10-02 08:08:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-02 08:09:00 +0200;59;regular;""
Münsterplatz , Ulm;2019-10-02 08:12:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 08:14:00 +0200;48;regular;""
Münsterplatz , Ulm;2019-10-02 08:19:00 +0200;74;regular;""
Münsterplatz , Ulm;2019-10-02 08:23:00 +0200;6;regular;""
Münsterplatz , Ulm;2019-10-02 08:24:00 +0200;69;regular;""
Münsterplatz , Ulm;2019-10-02 08:29:00 +0200;51;regular;""
Münsterplatz , Ulm;2019-10-02 08:34:00 +0200;31;regular;""
Münsterplatz , Ulm;2019-10-02 08:39:00 +0200;37;regular;""
Münsterplatz , Ulm;2019-10-02 08:44:00 +0200;39;regular;""
Münsterplatz , Ulm;2019-10-02 08:49:00 +0200;75;regular;""
Münsterplatz , Ulm;2019-10-02 08:53:00 +0200;7;regular;""
Münsterplatz , Ulm;2019-10-02 08:54:00 +0200;74;regular;""
Münsterplatz , Ulm;2019-10-02 08:58:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 08:59:00 +0200;43;regular;""
Münsterplatz , Ulm;2019-10-02 09:04:00 +0200;33;regular;""
Münsterplatz , Ulm;2019-10-02 09:09:00 +0200;44;regular;""
Münsterplatz , Ulm;2019-10-02 09:10:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 09:14:00 +0200;64;regular;""
Münsterplatz , Ulm;2019-10-02 09:18:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 09:19:00 +0200;52;regular;""
Münsterplatz , Ulm;2019-10-02 09:24:00 +0200;69;regular;""
Münsterplatz , Ulm;2019-10-02 09:29:00 +0200;84;regular;""
Münsterplatz , Ulm;2019-10-02 09:34:00 +0200;123;regular;""
Münsterplatz , Ulm;2019-10-02 09:39:00 +0200;106;regular;""
Münsterplatz , Ulm;2019-10-02 09:44:00 +0200;126;regular;""
Münsterplatz , Ulm;2019-10-02 09:48:00 +0200;6;regular;""
Münsterplatz , Ulm;2019-10-02 09:49:00 +0200;90;regular;""
Münsterplatz , Ulm;2019-10-02 09:54:00 +0200;126;regular;""
Münsterplatz , Ulm;2019-10-02 09:58:00 +0200;11;regular;""
Münsterplatz , Ulm;2019-10-02 09:59:00 +0200;112;regular;""
Münsterplatz , Ulm;2019-10-02 10:04:00 +0200;134;regular;""
Münsterplatz , Ulm;2019-10-02 10:09:00 +0200;149;regular;""
Münsterplatz , Ulm;2019-10-02 10:14:00 +0200;144;regular;""
Münsterplatz , Ulm;2019-10-02 10:19:00 +0200;167;regular;""
Münsterplatz , Ulm;2019-10-02 10:24:00 +0200;147;regular;""
Münsterplatz , Ulm;2019-10-02 10:29:00 +0200;192;regular;""
Münsterplatz , Ulm;2019-10-02 10:34:00 +0200;213;regular;""
Münsterplatz , Ulm;2019-10-02 10:39:00 +0200;203;regular;""
Münsterplatz , Ulm;2019-10-02 10:44:00 +0200;202;regular;""
Münsterplatz , Ulm;2019-10-02 10:49:00 +0200;182;regular;""
Münsterplatz , Ulm;2019-10-02 10:54:00 +0200;210;regular;""
Münsterplatz , Ulm;2019-10-02 10:59:00 +0200;188;regular;""
Münsterplatz , Ulm;2019-10-02 11:04:00 +0200;196;regular;""
Münsterplatz , Ulm;2019-10-02 11:09:00 +0200;166;regular;""
Münsterplatz , Ulm;2019-10-02 11:13:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-02 11:14:00 +0200;183;regular;""
Münsterplatz , Ulm;2019-10-02 11:18:00 +0200;13;regular;""
Münsterplatz , Ulm;2019-10-02 11:19:00 +0200;157;regular;""
Münsterplatz , Ulm;2019-10-02 11:24:00 +0200;180;regular;""
Münsterplatz , Ulm;2019-10-02 11:29:00 +0200;171;regular;""
Münsterplatz , Ulm;2019-10-02 11:34:00 +0200;173;regular;""
Münsterplatz , Ulm;2019-10-02 11:39:00 +0200;194;regular;""
Münsterplatz , Ulm;2019-10-02 11:44:00 +0200;180;regular;""
Münsterplatz , Ulm;2019-10-02 11:48:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 11:49:00 +0200;126;regular;""
