location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2020-03-02 17:54:13 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 17:54:53 +0100;89;regular;""
Münsterplatz , Ulm;2020-03-02 17:56:45 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 17:59:55 +0100;83;regular;""
Münsterplatz , Ulm;2020-03-02 18:02:35 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 18:04:59 +0100;95;regular;""
Münsterplatz , Ulm;2020-03-02 18:06:00 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 18:09:58 +0100;91;regular;""
Münsterplatz , Ulm;2020-03-02 18:19:56 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-02 18:19:58 +0100;95;regular;""
Münsterplatz , Ulm;2020-03-02 18:24:39 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 18:24:56 +0100;90;regular;""
Münsterplatz , Ulm;2020-03-02 18:27:39 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 18:29:58 +0100;88;regular;""
Münsterplatz , Ulm;2020-03-02 18:30:11 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 18:34:59 +0100;69;regular;""
Münsterplatz , Ulm;2020-03-02 18:39:52 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 18:39:58 +0100;69;regular;""
Münsterplatz , Ulm;2020-03-02 18:43:57 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 18:44:51 +0100;58;regular;""
Münsterplatz , Ulm;2020-03-02 18:48:06 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 18:49:49 +0100;53;regular;""
Münsterplatz , Ulm;2020-03-02 18:50:48 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 18:54:59 +0100;50;regular;""
Münsterplatz , Ulm;2020-03-02 18:59:49 +0100;58;regular;""
Münsterplatz , Ulm;2020-03-02 19:04:59 +0100;63;regular;""
Münsterplatz , Ulm;2020-03-02 19:09:57 +0100;64;regular;""
Münsterplatz , Ulm;2020-03-02 19:14:59 +0100;45;regular;""
Münsterplatz , Ulm;2020-03-02 19:19:52 +0100;43;regular;""
Münsterplatz , Ulm;2020-03-02 19:24:51 +0100;38;regular;""
Münsterplatz , Ulm;2020-03-02 19:25:37 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 19:29:57 +0100;29;regular;""
Münsterplatz , Ulm;2020-03-02 19:34:41 +0100;28;regular;""
Münsterplatz , Ulm;2020-03-02 19:39:45 +0100;33;regular;""
Münsterplatz , Ulm;2020-03-02 19:42:42 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 19:44:11 +0100;18;regular;""
Münsterplatz , Ulm;2020-03-02 19:45:43 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 19:49:50 +0100;23;regular;""
Münsterplatz , Ulm;2020-03-02 19:53:55 +0100;23;regular;""
Münsterplatz , Ulm;2020-03-02 19:57:04 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 19:59:56 +0100;39;regular;""
Münsterplatz , Ulm;2020-03-02 20:04:49 +0100;24;regular;""
Münsterplatz , Ulm;2020-03-02 20:09:25 +0100;26;regular;""
Münsterplatz , Ulm;2020-03-02 20:14:58 +0100;24;regular;""
Münsterplatz , Ulm;2020-03-02 20:16:24 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 20:19:15 +0100;18;regular;""
Münsterplatz , Ulm;2020-03-02 20:23:26 +0100;12;regular;""
Münsterplatz , Ulm;2020-03-02 20:25:40 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 20:29:43 +0100;18;regular;""
